,Result,Category
0,Black Win,11
1,White Win,9
2,White Win,10
3,Black Win,9
4,Black Win,1
5,Black Win,12
6,Black Win,10
7,Black Win,8
8,White Win,10
9,White Win,8
10,Draw,7
11,Black Win,9
12,Black Win,11
13,Black Win,10
14,White Win,11
15,White Win,19
16,Black Win,13
17,Black Win,11
18,White Win,19
19,White Win,20
20,Black Win,1
21,Draw,8
22,Black Win,5
23,White Win,7
24,Black Win,6
25,Black Win,11
26,White Win,13
27,Black Win,12
28,White Win,10
29,Black Win,11
30,White Win,0
31,Black Win,0
32,White Win,15
33,Black Win,6
34,White Win,16
35,White Win,10
36,Black Win,10
37,Black Win,5
38,Draw,8
39,White Win,14
40,White Win,13
41,Black Win,9
42,White Win,8
43,Draw,12
44,Black Win,13
45,Black Win,11
46,Black Win,7
47,White Win,9
48,Black Win,3
49,White Win,15
50,White Win,10
51,Black Win,1
52,White Win,6
53,White Win,9
54,White Win,12
55,Black Win,7
56,White Win,8
57,White Win,11
58,Black Win,8
59,White Win,13
60,Black Win,10
61,White Win,0
62,White Win,20
63,White Win,20
64,Black Win,9
65,White Win,8
66,White Win,12
67,Black Win,8
68,Black Win,8
69,Black Win,5
70,Black Win,7
71,White Win,8
72,Black Win,14
73,White Win,0
74,Black Win,8
75,White Win,9
76,White Win,10
77,White Win,14
78,White Win,13
79,White Win,9
80,White Win,14
81,White Win,11
82,White Win,7
83,Black Win,4
84,Black Win,17
85,Black Win,7
86,White Win,11
87,White Win,12
88,White Win,16
89,Black Win,8
90,White Win,6
91,Draw,7
92,Black Win,10
93,White Win,9
94,White Win,8
95,White Win,9
96,Black Win,0
97,White Win,10
98,White Win,15
99,White Win,7
100,Black Win,6
101,Black Win,6
102,Black Win,11
103,Black Win,10
104,White Win,9
105,Black Win,11
106,White Win,9
107,Black Win,10
108,Black Win,12
109,White Win,13
110,White Win,12
111,White Win,13
112,White Win,10
113,Black Win,8
114,White Win,10
115,White Win,6
116,White Win,12
117,White Win,8
118,Draw,8
119,Black Win,0
120,White Win,11
121,Black Win,8
122,White Win,7
123,Black Win,7
124,White Win,8
125,White Win,20
126,White Win,13
127,Black Win,7
128,Black Win,13
129,Black Win,7
130,White Win,4
131,Black Win,11
132,Black Win,5
133,White Win,7
134,White Win,15
135,Black Win,6
136,White Win,9
137,Black Win,8
138,White Win,12
139,Black Win,7
140,White Win,12
141,Black Win,7
142,White Win,11
143,Black Win,8
144,White Win,11
145,Black Win,0
146,White Win,8
147,Black Win,13
148,Black Win,4
149,Black Win,6
150,White Win,9
151,White Win,13
152,Black Win,5
153,White Win,13
154,Black Win,6
155,White Win,18
156,Black Win,7
157,White Win,12
158,Black Win,13
159,Black Win,14
160,Black Win,8
161,Black Win,0
162,White Win,11
163,White Win,12
164,White Win,8
165,White Win,9
166,White Win,5
167,Black Win,11
168,Black Win,8
169,White Win,11
170,Black Win,9
171,Black Win,4
172,Black Win,5
173,White Win,18
174,White Win,12
175,Draw,10
176,Black Win,5
177,Black Win,7
178,Black Win,7
179,Black Win,5
180,Black Win,11
181,White Win,9
182,Black Win,7
183,Black Win,11
184,Black Win,11
